TIME_1,RE_1,LE_1,RE_1_processed,LE_1_processed
2003-08-08 11:43:52.0732,-1.9,0.2,-0.31314124577960534,0.03407379706683346
2003-08-08 11:43:52.0738,-1.9,0.1,-0.3660770508214249,-0.02246984613634176
2003-08-08 11:43:52.0744,-2.0,0.1,-0.41835961734562366,-0.07838973262270735
2003-08-08 11:43:52.0750,-2.1,0.2,-0.46989717020799937,-0.13369656568479113
2003-08-08 11:43:52.0756,-2.2,0.0,-0.5205994807755893,-0.18838793988036523
2003-08-08 11:43:52.0761,-2.3,-0.2,-0.5703834495703433,-0.24244910371894937
2003-08-08 11:43:52.0767,-2.5,-0.3,-0.6191781706828013,-0.2958558054529068
2003-08-08 11:43:52.0773,-2.6,-0.5,-0.6669291289977816,-0.3485788612125428
2003-08-08 11:43:52.0779,-2.8,-0.7,-0.7136011618226771,-0.4005898441405334
2003-08-08 11:43:52.0785,-2.9,-0.7,-0.7591798397534282,-0.45186715106974384
2003-08-08 11:43:52.0791,-2.9,-0.8,-0.8036710019999013,-0.5024016841992229
2003-08-08 11:43:52.0797,-2.9,-0.8,-0.8470983227544365,-0.5522014841674939
2003-08-08 11:43:52.0803,-3.0,-0.7,-0.8894989734919351,-0.6012948374404994
2003-08-08 11:43:52.0809,-2.9,-0.7,-0.9309176509417344,-0.6497316057139813
2003-08-08 11:43:52.0815,-2.9,-0.8,-0.9713994284138199,-0.6975827331512574
2003-08-08 11:43:52.0820,-2.8,-0.9,-1.0109820340837776,-0.7449380344763091
2003-08-08 11:43:52.0826,-2.9,-0.9,-1.0496882443219275,-0.7919024384274621
2003-08-08 11:43:52.0832,-2.9,-1.0,-1.08751908567033,-0.8385908786202981
2003-08-08 11:43:52.0838,-3.0,-1.1,-1.1244484587609402,-0.8851220244203925
2003-08-08 11:43:52.0844,-3.1,-1.2,-1.1604196442583543,-0.9316110526272097
2003-08-08 11:43:52.0850,-3.3,-1.3,-1.1953439529755068,-0.9781616878884261
2003-08-08 11:43:52.0856,-3.4,-1.2,-1.2291015728139971,-1.024857796876733
2003-08-08 11:43:52.0862,-3.5,-1.3,-1.2615444773438242,-1.0717549161931983
2003-08-08 11:43:52.0868,-3.5,-1.1,-1.2925011230126608,-1.1188722150298056
2003-08-08 11:43:52.0874,-3.5,-1.1,-1.3217825866454216,-1.166185504589815
2003-08-08 11:43:52.0880,-3.6,-1.1,-1.3491897711077645,-1.213621958588618
2003-08-08 11:43:52.0885,-3.6,-1.3,-1.3745213080267928,-1.2610571608827568
2003-08-08 11:43:52.0891,-3.7,-1.3,-1.3975817884529373,-1.3083149329464407
2003-08-08 11:43:52.0897,-3.8,-1.4,-1.4181899477228646,-1.355170142375106
2003-08-08 11:43:52.0903,-3.9,-1.6,-1.436186427470506,-1.401354408317036
2003-08-08 11:43:52.0909,-3.9,-1.7,-1.4514407515648342,-1.4465643503403283
2003-08-08 11:43:52.0915,-3.9,-1.7,-1.463857199843294,-1.4904718048247576
2003-08-08 11:43:52.0921,-3.8,-1.9,-1.4733793503366253,-1.5327352777480017
2003-08-08 11:43:52.0927,-3.8,-2.0,-1.4799931753046955,-1.573011824618638
2003-08-08 11:43:52.0933,-3.8,-2.1,-1.4837286914744687,-1.6109685448952675
2003-08-08 11:43:52.0939,-3.8,-2.1,-1.4846602531855482,-1.6462929470480496
2003-08-08 11:43:52.0944,-3.7,-2.1,-1.4829056268126939,-1.6787015845267865
2003-08-08 11:43:52.0950,-3.7,-2.0,-1.4786239999732982,-1.7079465741332294
2003-08-08 11:43:52.0956,-3.7,-2.0,-1.4720130667907099,-1.7338198535431029
2003-08-08 11:43:52.0962,-3.8,-2.0,-1.4633052926099441,-1.7561552655794073
2003-08-08 11:43:52.0968,-3.8,-2.0,-1.4527634022896379,-1.7748287319538163
2003-08-08 11:43:52.0974,-3.9,-2.1,-1.4406750732155207,-1.789756882037701
2003-08-08 11:43:52.0980,-3.8,-2.0,-1.4273467747649242,-1.8008945440915987
2003-08-08 11:43:52.0986,-3.9,-1.9,-1.4130967016625067,-1.8082315125997503
2003-08-08 11:43:52.0992,-3.7,-1.9,-1.3982468046547443,-1.81178899234299
2003-08-08 11:43:52.0998,-3.7,-1.9,-1.3831140172683005,-1.811616079791846
2003-08-08 11:43:52.1003,-3.6,-2.0,-1.3680008907845467,-1.8077865538938687
2003-08-08 11:43:52.1009,-3.6,-2.1,-1.3531859557082893,-1.8003961072830716
2003-08-08 11:43:52.1015,-3.6,-2.1,-1.3389142068917588,-1.7895599863404776
2003-08-08 11:43:52.1021,-3.5,-2.1,-1.3253881554124705,-1.7754108756323894
2003-08-08 11:43:52.1027,-3.4,-2.1,-1.312759910859785,-1.7580967994893157
2003-08-08 11:43:52.1033,-3.3,-2.1,-1.3011247600203988,-1.7377788306162938
2003-08-08 11:43:52.1039,-3.3,-1.9,-1.2905166859486117,-1.714628476238736
2003-08-08 11:43:52.1045,-3.3,-1.9,-1.2809062087764942,-1.6888247300630999
2003-08-08 11:43:52.1051,-3.3,-1.8,-1.2722008171028905,-1.6605509036306503
2003-08-08 11:43:52.1057,-3.4,-1.7,-1.2642481064243598,-1.6299914515368241
2003-08-08 11:43:52.1062,-3.4,-1.7,-1.25684157366999,-1.5973290574315409
2003-08-08 11:43:52.1068,-3.4,-1.6,-1.2497288616504654,-1.562742245203906
2003-08-08 11:43:52.1074,-3.3,-1.5,-1.2426221238344795,-1.5264037292641566
2003-08-08 11:43:52.1080,-3.3,-1.5,-1.2352100930284056,-1.4884796296546108
2003-08-08 11:43:52.1086,-3.3,-1.6,-1.2271713740025683,-1.4491295598556724
2003-08-08 11:43:52.1092,-3.5,-1.6,-1.2181884190058787,-1.4085074584029196
2003-08-08 11:43:52.1098,-3.5,-1.6,-1.2079615789239724,-1.3667629065951679
2003-08-08 11:43:52.1104,-3.5,-1.6,-1.196222569989902,-1.3240425959231465
2003-08-08 11:43:52.1110,-3.5,-1.4,-1.1827466890341258,-1.2804916137192432
2003-08-08 11:43:52.1116,-3.4,-1.2,-1.1673631686030075,-1.2362543044239498
2003-08-08 11:43:52.1122,-3.3,-1.2,-1.149963177733541,-1.191474600906387
2003-08-08 11:43:52.1127,-3.3,-1.1,-1.1305051158096977,-1.1462958479740302
2003-08-08 11:43:52.1133,-3.3,-1.1,-1.1090169848409344,-1.1008602099894196
2003-08-08 11:43:52.1139,-3.4,-1.1,-1.0855957415979014,-1.0553077567422884
2003-08-08 11:43:52.1145,-3.3,-1.0,-1.0604036298240078,-1.009775285204104
2003-08-08 11:43:52.1151,-3.2,-0.9,-1.0336615978049695,-0.9643948977786915
2003-08-08 11:43:52.1157,-3.1,-0.9,-1.0056400391827363,-0.9192923414324664
2003-08-08 11:43:52.1163,-3.0,-0.8,-0.9766472521892584,-0.8745851143117244
2003-08-08 11:43:52.1169,-2.9,-0.8,-0.9470161681399536,-0.8303803533967086
2003-08-08 11:43:52.1175,-2.8,-0.8,-0.91709002476153,-0.7867725215660436
2003-08-08 11:43:52.1181,-2.7,-0.8,-0.8872077373481017,-0.7438409223405773
2003-08-08 11:43:52.1186,-2.6,-0.6,-0.8576897465743237,-0.7016471011789438
2003-08-08 11:43:52.1192,-2.5,-0.5,-0.8288250962581923,-0.6602322559108531
2003-08-08 11:43:52.1198,-2.5,-0.4,-0.800860418338961,-0.6196148686425517
2003-08-08 11:43:52.1204,-2.4,-0.4,-0.7739913785085619,-0.5797888546343233
2003-08-08 11:43:52.1210,-2.3,-0.2,-0.7483569714959585,-0.5407225629556657
2003-08-08 11:43:52.1216,-2.5,-0.2,-0.7240368609177429,-0.5023589442209552
2003-08-08 11:43:52.1222,-2.5,-0.2,-0.7010517473895804,-0.464617129317355
