TIME_1,RE_1,LE_1,TIME_2,RE_2,LE_2,TIME_3,RE_3,LE_3,TIME_4,RE_4,LE_4,RE_1_processed,LE_1_processed,RE_2_processed,LE_2_processed,RE_3_processed,LE_3_processed,RE_4_processed,LE_4_processed
2007-12-20 14:37:55.0283,-1.5,-3.8,2007-12-20 14:38:30.0283,-1.4,-1.4,2007-12-20 11:22:09.0283,2.2,1.9,2007-12-20 11:26:01.0283,0.0,-0.1,-0.7350174365952518,-0.3186880546511125,-0.33523115325074904,-0.21490499837206187,1.3757983452599474,1.2963423683966824,-0.9706726675402733,1.1125509859342926
2007-12-20 14:37:55.0289,-1.3,-3.6,2007-12-20 14:38:30.0289,-1.4,-0.9,2007-12-20 11:22:09.0289,2.3,1.9,2007-12-20 11:26:01.0289,0.0,0.0,-0.7016274960524017,-0.29711466767468925,-0.3324194244523092,-0.20169054207085652,1.4164434868831592,1.3157843025863476,-0.9883229007837597,1.0858998624300251
2007-12-20 14:37:55.0295,-1.0,-3.5,2007-12-20 14:38:30.0295,-1.5,-0.7,2007-12-20 11:22:09.0295,2.5,2.0,2007-12-20 11:26:01.0295,0.0,0.0,-0.6633370190550639,-0.26595865223437914,-0.32702336688915545,-0.18242680171936151,1.4288038613733414,1.3302285017039552,-1.013156012668975,1.054633455545998
2007-12-20 14:37:55.0301,-0.7,-3.4,2007-12-20 14:38:30.0301,-1.5,-0.5,2007-12-20 11:22:09.0301,2.7,2.0,2007-12-20 11:26:01.0301,0.0,0.0,-0.6205885953769711,-0.2254957439169157,-0.3183293344585881,-0.15723589184783562,1.412859667724471,1.3395058926825576,-1.044767481351053,1.0182299466279077
2007-12-20 14:37:55.0307,-0.6,-3.2,2007-12-20 14:38:30.0307,-1.5,-0.4,2007-12-20 11:22:09.0307,2.6,1.9,2007-12-20 11:26:01.0307,0.1,0.0,-0.5737900520299055,-0.17618592391605295,-0.30558968694346234,-0.12628154504884084,1.3694834835668757,1.3435961776966485,-1.0825034119095955,0.976350557544659
2007-12-20 14:37:55.0313,-0.3,-2.9,2007-12-20 14:38:30.0313,-1.4,-0.3,2007-12-20 11:22:09.0313,2.6,1.9,2007-12-20 11:26:01.0313,0.2,0.1,-0.5232953404862764,-0.11865593357964326,-0.2880440616875764,-0.08975531526129873,1.3004089371946719,1.3426252523176974,-1.12547559612766,0.9288572713882419
2007-12-20 14:37:55.0319,-0.2,-2.6,2007-12-20 14:38:30.0319,-1.2,-0.2,2007-12-20 11:22:09.0319,2.4,1.9,2007-12-20 11:26:01.0319,0.2,0.1,-0.46938848731712907,-0.05367691055091081,-0.26494180352205493,-0.04786427104667989,1.208169326049826,1.3368572743155085,-1.1725840980267923,0.8758231329873797
2007-12-20 14:37:55.0325,0.0,-2.3,2007-12-20 14:38:30.0325,-1.2,0.0,2007-12-20 11:22:09.0325,2.2,1.7,2007-12-20 11:26:01.0325,0.3,0.2,-0.4122714864261271,0.017861964234408178,-0.23556502622987383,-0.0008208730275481017,1.0960077041957306,1.326681804140636,-1.2225474358549424,0.8175340174230756
2007-12-20 14:37:55.0331,0.2,-1.9,2007-12-20 14:38:30.0331,-1.1,0.0,2007-12-20 11:22:09.0331,2.1,1.8,2007-12-20 11:26:01.0331,0.3,0.3,-0.3520568150981265,0.09498277997325368,-0.19925176459033297,0.05116451112474814,0.967761438113479,1.3125966645778657,-1.273940237279171,0.7544811127318968
2007-12-20 14:37:55.0336,0.3,-1.6,2007-12-20 14:38:30.0336,-1.2,-0.1,2007-12-20 11:22:09.0336,1.8,1.5,2007-12-20 11:26:01.0336,0.2,0.0,-0.2887650273524761,0.17665003968125315,-0.15541865294378146,0.10788824469401216,0.8277256232444223,1.2951873653626629,-1.3252379115936863,0.6873438557972975
2007-12-20 14:37:55.0342,0.3,-1.3,2007-12-20 14:38:30.0342,-1.0,0.0,2007-12-20 11:22:09.0342,1.3,1.1,2007-12-20 11:26:01.0342,-0.1,-0.4,-0.2223276305214743,0.2618024490799592,-0.10358253540158781,0.16915523451742875,0.6805009392168346,1.2751041025553782,-1.374867416852025,0.6169637007919242
2007-12-20 14:37:55.0348,0.5,-0.9,2007-12-20 14:38:30.0348,-0.9,0.1,2007-12-20 11:22:09.0348,1.0,1.0,2007-12-20 11:26:01.0348,-0.4,-0.8,-0.1525951981972508,0.34938415970753384,-0.043380391011713836,0.23477813739650458,0.530832406262943,1.2530374554250714,-1.4212626361242584,0.5443098487657713
2007-12-20 14:37:55.0354,0.6,-0.6,2007-12-20 14:38:30.0354,-0.7,0.3,2007-12-20 11:22:09.0354,0.9,1.1,2007-12-20 11:26:01.0354,-0.8,-1.0,-0.07935043247558228,0.4383743154127354,0.0254130359876646,0.30457431916720923,0.38344598091634546,1.2296939309791912,-1.4629222910290027,0.4704388051609493
2007-12-20 14:37:55.0360,0.8,-0.1,2007-12-20 14:38:30.0360,-0.4,0.7,2007-12-20 11:22:09.0360,0.9,1.1,2007-12-20 11:26:01.0360,-0.9,-1.1,-0.002325680306667409,0.5278138321207535,0.10287046727994292,0.37836099296036435,0.24288987438597895,1.2057724117427109,-1.4984678246423548,0.3964501885838832
2007-12-20 14:37:55.0366,1.1,0.1,2007-12-20 14:38:30.0366,-0.3,1.0,2007-12-20 11:22:09.0366,0.9,1.2,2007-12-20 11:26:01.0366,-1.1,-1.2,0.07877575581884413,0.6168284589930078,0.18890067583598474,0.4559489671425965,0.1133868528678648,1.1819423472062573,-1.5266983940157413,0.3234414617054159
